hub_code;period;iso_code;country;status;comments
MUMB;2015;;Mynamar;Completed;IAEA Mission 
MUMB;2016;;Bhutan;Planned;
MUMB;2015;;Indonesia ;Completed;
MUMB;2015;;Philippines;Completed;
MUMB;2015;;Iran ;Completed;Recommendations being written + MoA in progress
MUMB;2015;;Laos PDR;Completed;
MUMB;2015;;Cambodia;Completed;
MUMB;2014;;India;Follow-up;Visit at Hub
MUMB;2013;;Bhutan;Completed;
MUMB;2013;;Viet Nam;Completed;
MUMB;2013;;Thailand;Completed;
MUMB;2013;;Bangladesh;Completed;
MUMB;2013;;India;Completed;Hub inauguration 
PI;2016;;Fiji ;Completed;
