cancer_label,CSU_RANK,hdi_group,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Oropharynx",46,2,27,2,0,191,3,19,.43,.774,"Croatia",16,"Southern Europe"
"Vulva",46,2,28,2,0,688,21,136,1.27,.726,"Serbia",16,"Southern Europe"
"Salivary glands",46,1,29,2,0,68,2,32,.55,.637,"Bolivia",8,"South America"
"Stomach",46,0,30,2,0,678,7,5,6.48,.511,"Sao Tome and Principe",2,"Middle Africa"
"Bladder",47,3,1,2,0,36,30,1023,3.19,.907,"Australia",18,"Australia/New Zealand"
"Brain, CNS",47,1,2,2,0,12,31,953,4.22,.657,"Algeria",3,"Northern Africa"
"Breast",47,1,3,2,0,76,20,94728,63.12,.699,"Brazil",8,"South America"
"Colorectum",47,1,4,2,0,498,8,781,19.71,.663,"Moldova",14,"Eastern Europe"
"Pancreas",47,3,5,2,0,254,13,8,5.5,.817,"French Guyana",8,"South America"
"Kidney",47,1,6,2,0,496,29,64,3.73,.608,"Mongolia",10,"Eastern Asia"
"Lung",47,1,7,2,0,792,15,7993,13.5,.677,"Türkiye",13,"Western Asia"
"NHL",47,3,8,2,0,540,34,13,6.22,.852,"New Caledonia",19,"Melanesia"
"Corpus uteri",47,1,9,2,0,480,24,144,12.99,.692,"Mauritius",1,"Eastern Africa"
"Thyroid",47,1,10,2,0,608,32,6088,10.83,.638,"Philippines",11,"South-Eastern Asia"
"Leukaemia",47,1,11,2,0,364,36,2530,5.76,.67,"Iran, Islamic Republic of",12,"South Central Asia"
"Ovary",47,0,12,2,0,404,25,1245,7.85,.465,"Kenya",1,"Eastern Africa"
"Hodgkin lymphoma",47,1,13,2,0,214,33,109,1.83,.668,"Dominican Republic",6,"Caribbean"
"Multiple myeloma",47,3,14,2,0,203,35,296,2.17,.821,"Czechia",14,"Eastern Europe"
"Melanoma of skin",47,0,15,2,0,598,16,115,3.48,.462,"Papua New Guinea",19,"Melanesia"
"Mesothelioma",47,3,16,2,0,372,18,8,.16,.881,"Ireland",15,"Northern Europe"
"Cervix uteri",47,2,17,2,0,642,23,3368,21.67,.731,"Romania",14,"Eastern Europe"
"Liver",47,1,18,2,0,70,11,217,5.02,.689,"Bosnia Herzegovina",16,"Southern Europe"
"Nasopharynx",47,2,19,2,0,48,4,2,.51,.795,"Bahrain",13,"Western Asia"
"Kaposi sarcoma",47,3,20,2,0,470,19,1,.14,.804,"Malta",16,"Southern Europe"
"Oesophagus",47,3,21,2,0,208,6,162,2.18,.89,"Denmark",15,"Northern Europe"
"Vagina",47,3,22,2,0,56,22,53,.44,.886,"Belgium",17,"Western Europe"
"Gallbladder",47,2,23,2,0,688,12,137,1.25,.726,"Serbia",16,"Southern Europe"
"Larynx",47,1,24,2,0,68,14,35,.58,.637,"Bolivia",8,"South America"
"Hypopharynx",47,2,25,2,0,688,5,19,.22,.726,"Serbia",16,"Southern Europe"
"Lip, oral cavity",47,3,26,2,0,724,1,1431,2.07,.837,"Spain",16,"Southern Europe"
"Oropharynx",47,0,27,2,0,4,3,46,.42,.384,"Afghanistan",12,"South Central Asia"
"Vulva",47,0,28,2,0,232,21,16,1.26,.427,"Eritrea",1,"Eastern Africa"
"Salivary glands",47,1,29,2,0,608,2,306,.55,.638,"Philippines",11,"South-Eastern Asia"
"Stomach",47,1,30,2,0,70,7,249,6.41,.689,"Bosnia Herzegovina",16,"Southern Europe"
"Bladder",48,1,1,2,0,792,30,1957,3.14,.677,"Türkiye",13,"Western Asia"
"Brain, CNS",48,1,2,2,0,160,31,45100,4.2,.606,"China",10,"Eastern Asia"
"Breast",48,3,3,2,0,233,20,857,63.06,.805,"Estonia",15,"Northern Europe"
"Colorectum",48,3,4,2,0,312,8,99,19.63,.842,"France, Guadeloupe",6,"Caribbean"
"Pancreas",48,3,5,2,0,616,13,3007,5.48,.804,"Poland",14,"Eastern Europe"
"Kidney",48,1,6,2,0,792,29,1980,3.63,.677,"Türkiye",13,"Western Asia"
"Lung",48,2,7,2,0,620,15,1902,13.3,.799,"Portugal",16,"Southern Europe"
"NHL",48,2,8,2,0,348,34,649,6.02,.788,"Hungary",14,"Eastern Europe"
"Corpus uteri",48,3,9,2,0,724,24,6698,12.91,.837,"Spain",16,"Southern Europe"
"Thyroid",48,3,10,2,0,702,32,453,10.72,.833,"Singapore",11,"South-Eastern Asia"
"Leukaemia",48,1,11,2,0,792,36,2788,5.73,.677,"Türkiye",13,"Western Asia"
"Ovary",48,3,12,2,0,36,25,1799,7.84,.907,"Australia",18,"Australia/New Zealand"
"Hodgkin lymphoma",48,3,13,2,0,203,33,120,1.81,.821,"Czechia",14,"Eastern Europe"
"Multiple myeloma",48,2,14,2,0,400,35,80,2.14,.715,"Jordan",13,"Western Asia"
"Melanoma of skin",48,1,15,2,0,600,16,131,3.4,.662,"Paraguay",8,"South America"
"Mesothelioma",48,3,16,2,0,376,18,11,.16,.873,"Israel",13,"Western Asia"
"Cervix uteri",48,1,17,2,0,320,23,1761,21.49,.563,"Guatemala",7,"Central America"
"Liver",48,1,18,2,0,218,11,572,5.02,.684,"Ecuador",8,"South America"
"Nasopharynx",48,1,19,2,0,8,4,12,.48,.684,"Albania",16,"Southern Europe"
"Kaposi sarcoma",48,1,20,2,0,600,19,6,.14,.662,"Paraguay",8,"South America"
"Oesophagus",48,3,21,2,0,56,6,302,2.12,.886,"Belgium",17,"Western Europe"
"Vagina",48,3,22,2,0,276,22,592,.44,.89,"Germany",17,"Western Europe"
"Gallbladder",48,2,23,2,0,400,12,46,1.23,.715,"Jordan",13,"Western Asia"
"Larynx",48,2,24,2,0,144,14,106,.56,.703,"Sri Lanka",12,"South Central Asia"
"Hypopharynx",48,3,25,2,0,203,5,20,.21,.821,"Czechia",14,"Eastern Europe"
"Lip, oral cavity",48,2,26,2,0,643,1,3133,2.04,.734,"Russian Federation",14,"Eastern Europe"
"Oropharynx",48,0,27,2,0,768,3,12,.42,.433,"Togo",5,"Western Africa"
"Vulva",48,3,28,2,0,724,21,925,1.26,.837,"Spain",16,"Southern Europe"
"Salivary glands",48,2,29,2,0,144,2,78,.54,.703,"Sri Lanka",12,"South Central Asia"
"Stomach",48,2,30,2,0,191,7,410,6.4,.774,"Croatia",16,"Southern Europe"
"Bladder",49,0,1,2,0,24,30,282,2.92,.426,"Angola",2,"Middle Africa"
"Brain, CNS",49,1,2,2,0,31,31,262,4.17,.651,"Azerbaijan",13,"Western Asia"
"Breast",49,2,3,2,0,440,20,1719,62.74,.785,"Lithuania",15,"Northern Europe"
"Colorectum",49,3,4,2,0,196,8,245,19.51,.819,"Cyprus",16,"Southern Europe"
"Pancreas",49,3,5,2,0,554,13,324,5.43,.888,"New Zealand",18,"Australia/New Zealand"
"Kidney",49,3,6,2,0,392,29,6332,3.59,.864,"Japan",10,"Eastern Asia"
"Lung",49,2,7,2,0,100,15,1050,13.27,.736,"Bulgaria",14,"Eastern Europe"
"NHL",49,0,8,2,0,516,34,69,5.86,.541,"Namibia",4,"Southern Africa"
"Corpus uteri",49,3,9,2,0,246,24,909,12.42,.874,"Finland",15,"Northern Europe"
"Thyroid",49,2,10,2,0,144,32,1400,10.53,.703,"Sri Lanka",12,"South Central Asia"
"Leukaemia",49,2,11,2,0,620,36,640,5.72,.799,"Portugal",16,"Southern Europe"
"Ovary",49,1,12,2,0,266,25,65,7.79,.626,"Gabon",2,"Middle Africa"
"Hodgkin lymphoma",49,2,13,2,0,858,33,34,1.79,.749,"Uruguay",8,"South America"
"Multiple myeloma",49,2,14,2,0,428,35,60,2.12,.767,"Latvia",15,"Northern Europe"
"Melanoma of skin",49,3,15,2,0,96,16,8,3.36,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Mesothelioma",49,1,16,2,0,408,18,38,.16,.595,"Korea, Democratic People Republic of",10,"Eastern Asia"
"Cervix uteri",49,0,17,2,0,104,23,7028,21.44,.432,"Myanmar",11,"South-Eastern Asia"
"Liver",49,0,18,2,0,24,11,421,4.98,.426,"Angola",2,"Middle Africa"
"Nasopharynx",49,2,19,2,0,258,4,1,.47,.791,"French Polynesia",21,"Polynesia"
"Kaposi sarcoma",49,1,20,2,0,862,19,24,.14,.692,"Venezuela",8,"South America"
"Oesophagus",49,3,21,2,0,554,6,130,2.06,.888,"New Zealand",18,"Australia/New Zealand"
"Vagina",49,2,22,2,0,428,22,13,.44,.767,"Latvia",15,"Northern Europe"
"Gallbladder",49,0,23,2,0,706,12,49,1.23,.285,"Somalia",1,"Eastern Africa"
"Larynx",49,2,24,2,0,784,14,6,.56,.792,"United Arab Emirates",13,"Western Asia"
"Hypopharynx",49,1,25,2,0,328,5,1,.21,.622,"Guyana",8,"South America"
"Lip, oral cavity",49,2,26,2,0,258,1,4,2.03,.791,"French Polynesia",21,"Polynesia"
"Oropharynx",49,1,27,2,0,170,3,149,.41,.671,"Colombia",8,"South America"
"Vulva",49,0,28,2,0,180,21,332,1.22,.358,"Congo, Democratic Republic of",2,"Middle Africa"
"Salivary glands",49,1,29,2,0,340,2,26,.54,.575,"Honduras",7,"Central America"
"Stomach",49,2,30,2,0,100,7,579,6.31,.736,"Bulgaria",14,"Eastern Europe"
"Bladder",50,1,1,2,0,76,30,4938,2.86,.699,"Brazil",8,"South America"
"Brain, CNS",50,3,2,2,0,276,31,3468,4.16,.89,"Germany",17,"Western Europe"
"Breast",50,3,3,2,0,630,20,1862,62.32,.865,"Puerto Rico",6,"Caribbean"
"Colorectum",50,2,4,2,0,32,8,7230,19.36,.781,"Argentina",8,"South America"
"Pancreas",50,1,5,2,0,792,13,3608,5.42,.677,"Türkiye",13,"Western Asia"
"Kidney",50,1,6,2,0,604,29,725,3.48,.688,"Peru",8,"South America"
"Lung",50,1,7,2,0,608,15,7140,13,.638,"Philippines",11,"South-Eastern Asia"
"NHL",50,3,8,2,0,442,34,35,5.79,.869,"Luxembourg",17,"Western Europe"
"Corpus uteri",50,3,9,2,0,250,24,9760,12.05,.852,"France (metropolitan)",17,"Western Europe"
"Thyroid",50,3,10,2,0,96,32,26,10.52,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Leukaemia",50,1,11,2,0,320,36,507,5.71,.563,"Guatemala",7,"Central America"
"Ovary",50,2,12,2,0,398,25,931,7.7,.714,"Kazakhstan",12,"South Central Asia"
"Hodgkin lymphoma",50,3,13,2,0,616,33,359,1.78,.804,"Poland",14,"Eastern Europe"
"Multiple myeloma",50,2,14,2,0,780,35,25,2.06,.726,"Trinidad and Tobago",6,"Caribbean"
"Melanoma of skin",50,1,15,2,0,710,16,1031,3.34,.619,"South Africa",4,"Southern Africa"
"Mesothelioma",50,2,16,2,0,620,18,28,.16,.799,"Portugal",16,"Southern Europe"
"Cervix uteri",50,0,17,2,0,728,23,749,21.42,.41,"South Sudan",1,"Eastern Africa"
"Liver",50,3,18,2,0,96,11,11,4.98,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Nasopharynx",50,0,19,2,0,450,4,42,.47,.464,"Madagascar",1,"Eastern Africa"
"Kaposi sarcoma",50,1,20,2,0,504,19,31,.13,.551,"Morocco",3,"Northern Africa"
"Oesophagus",50,0,21,2,0,332,6,105,2.02,.446,"Haiti",6,"Caribbean"
"Vagina",50,1,22,2,0,480,22,5,.44,.692,"Mauritius",1,"Eastern Africa"
"Gallbladder",50,1,23,2,0,788,12,106,1.21,.664,"Tunisia",3,"Northern Africa"
"Larynx",50,1,24,2,0,558,14,21,.55,.589,"Nicaragua",7,"Central America"
"Hypopharynx",50,1,25,2,0,604,5,42,.21,.688,"Peru",8,"South America"
"Lip, oral cavity",50,3,26,2,0,380,1,1990,2.01,.85,"Italy",16,"Southern Europe"
"Oropharynx",50,3,27,2,0,554,3,18,.41,.888,"New Zealand",18,"Australia/New Zealand"
"Vulva",50,1,28,2,0,604,21,276,1.2,.688,"Peru",8,"South America"
"Salivary glands",50,3,29,2,0,528,2,87,.54,.885,"The Netherlands",17,"Western Europe"
"Stomach",50,0,30,2,0,598,7,175,6.28,.462,"Papua New Guinea",19,"Melanesia"
"Bladder",51,3,1,2,0,246,30,264,2.86,.874,"Finland",15,"Northern Europe"
"Brain, CNS",51,3,2,2,0,705,31,92,4.16,.85,"Slovenia",16,"Southern Europe"
"Breast",51,1,3,2,0,12,20,14601,61.87,.657,"Algeria",3,"Northern Africa"
"Colorectum",51,3,4,2,0,474,8,106,19.34,.859,"France, Martinique",6,"Caribbean"
"Pancreas",51,2,5,2,0,152,13,1027,5.25,.769,"Chile",8,"South America"
"Kidney",51,3,6,2,0,630,29,96,3.34,.865,"Puerto Rico",6,"Caribbean"
"Lung",51,3,7,2,0,233,15,247,12.62,.805,"Estonia",15,"Northern Europe"
"NHL",51,1,8,2,0,882,34,5,5.79,.659,"Samoa",21,"Polynesia"
"Corpus uteri",51,0,9,2,0,90,24,28,12.03,.486,"Solomon Islands",19,"Melanesia"
"Thyroid",51,3,10,2,0,752,32,699,10.51,.908,"Sweden",15,"Northern Europe"
"Leukaemia",51,3,11,2,0,372,36,203,5.68,.881,"Ireland",15,"Northern Europe"
"Ovary",51,3,12,2,0,40,25,745,7.67,.847,"Austria",17,"Western Europe"
"Hodgkin lymphoma",51,1,13,2,0,31,33,98,1.76,.651,"Azerbaijan",13,"Western Asia"
"Multiple myeloma",51,3,14,2,0,276,35,3167,2.05,.89,"Germany",17,"Western Europe"
"Melanoma of skin",51,2,15,2,0,100,16,219,3.11,.736,"Bulgaria",14,"Eastern Europe"
"Mesothelioma",51,2,16,2,0,642,18,33,.16,.731,"Romania",14,"Eastern Europe"
"Cervix uteri",51,1,17,2,0,558,23,721,20.61,.589,"Nicaragua",7,"Central America"
"Liver",51,1,18,2,0,498,11,207,4.97,.663,"Moldova",14,"Eastern Europe"
"Nasopharynx",51,0,19,2,0,288,4,69,.46,.499,"Ghana",5,"Western Africa"
"Kaposi sarcoma",51,0,20,2,0,148,19,10,.12,.307,"Chad",2,"Middle Africa"
"Oesophagus",51,2,21,2,0,858,6,88,1.99,.749,"Uruguay",8,"South America"
"Vagina",51,3,22,2,0,578,22,24,.44,.917,"Norway",15,"Northern Europe"
"Gallbladder",51,0,23,2,0,418,12,34,1.2,.486,"Lao People's Democratic Republic",11,"South-Eastern Asia"
"Larynx",51,2,24,2,0,32,14,192,.54,.781,"Argentina",8,"South America"
"Hypopharynx",51,2,25,2,0,642,5,40,.21,.731,"Romania",14,"Eastern Europe"
"Lip, oral cavity",51,3,26,2,0,372,1,89,2,.881,"Ireland",15,"Northern Europe"
"Oropharynx",51,0,27,2,0,887,3,35,.41,.461,"Yemen",13,"Western Asia"
"Vulva",51,1,28,2,0,740,21,4,1.18,.682,"Suriname",8,"South America"
"Salivary glands",51,0,29,2,0,404,2,97,.53,.465,"Kenya",1,"Eastern Africa"
"Stomach",51,0,30,2,0,686,7,334,6.27,.41,"Senegal",5,"Western Africa"
"Bladder",52,1,1,2,0,368,30,348,2.83,.603,"Iraq",13,"Western Asia"
"Brain, CNS",52,3,2,2,0,203,31,409,4.12,.821,"Czechia",14,"Eastern Europe"
"Breast",52,3,3,2,0,410,20,24772,61.48,.837,"Korea, Republic of",10,"Eastern Asia"
"Colorectum",52,2,4,2,0,428,8,575,19.09,.767,"Latvia",15,"Northern Europe"
"Pancreas",52,3,5,2,0,474,13,35,5.1,.859,"France, Martinique",6,"Caribbean"
"Kidney",52,3,6,2,0,96,29,8,3.3,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Lung",52,2,7,2,0,703,15,801,12.3,.773,"Slovakia",14,"Eastern Europe"
"NHL",52,2,8,2,0,400,34,237,5.74,.715,"Jordan",13,"Western Asia"
"Corpus uteri",52,3,9,2,0,554,24,534,12.02,.888,"New Zealand",18,"Australia/New Zealand"
"Thyroid",52,3,10,2,0,56,32,784,10.25,.886,"Belgium",17,"Western Europe"
"Leukaemia",52,3,11,2,0,96,36,12,5.65,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Ovary",52,3,12,2,0,376,25,492,7.65,.873,"Israel",13,"Western Asia"
"Hodgkin lymphoma",52,1,13,2,0,268,33,41,1.74,.699,"Georgia",13,"Western Asia"
"Multiple myeloma",52,2,14,2,0,688,35,192,2.04,.726,"Serbia",16,"Southern Europe"
"Melanoma of skin",52,1,15,2,0,604,16,668,3.09,.688,"Peru",8,"South America"
"Mesothelioma",52,3,16,2,0,203,18,18,.15,.821,"Czechia",14,"Eastern Europe"
"Cervix uteri",52,1,17,2,0,388,23,376,20.4,.692,"Jamaica",6,"Caribbean"
"Liver",52,1,18,2,0,417,11,158,4.96,.63,"Kyrgyzstan",12,"South Central Asia"
"Nasopharynx",52,1,19,2,0,760,4,43,.46,.607,"Syrian Arab Republic",13,"Western Asia"
"Kaposi sarcoma",52,2,20,2,0,434,19,3,.12,.79,"Libya",3,"Northern Africa"
"Oesophagus",52,0,21,2,0,180,6,486,1.98,.358,"Congo, Democratic Republic of",2,"Middle Africa"
"Vagina",52,2,22,2,0,858,22,18,.44,.749,"Uruguay",8,"South America"
"Gallbladder",52,2,23,2,0,591,12,34,1.2,.744,"Panama",7,"Central America"
"Larynx",52,3,24,2,0,705,14,13,.54,.85,"Slovenia",16,"Southern Europe"
"Hypopharynx",52,1,25,2,0,70,5,6,.2,.689,"Bosnia Herzegovina",16,"Southern Europe"
"Lip, oral cavity",52,1,26,2,0,710,1,598,1.98,.619,"South Africa",4,"Southern Africa"
"Oropharynx",52,0,27,2,0,204,3,16,.4,.438,"Benin",5,"Western Africa"
"Vulva",52,1,28,2,0,268,21,63,1.17,.699,"Georgia",13,"Western Asia"
"Salivary glands",52,0,29,2,0,232,2,7,.52,.427,"Eritrea",1,"Eastern Africa"
"Stomach",52,0,30,2,0,332,7,357,6.24,.446,"Haiti",6,"Caribbean"
"Bladder",53,0,1,2,0,686,30,160,2.81,.41,"Senegal",5,"Western Africa"
"Brain, CNS",53,1,2,2,0,76,31,5872,4.1,.699,"Brazil",8,"South America"
"Breast",53,2,3,2,0,688,20,4900,60.5,.726,"Serbia",16,"Southern Europe"
"Colorectum",53,1,4,2,0,600,8,690,18.87,.662,"Paraguay",8,"South America"
"Pancreas",53,2,5,2,0,620,13,1054,5.1,.799,"Portugal",16,"Southern Europe"
"Kidney",53,1,6,2,0,170,29,1120,3.28,.671,"Colombia",8,"South America"
"Lung",53,0,7,2,0,104,15,3885,12.19,.432,"Myanmar",11,"South-Eastern Asia"
"NHL",53,2,8,2,0,512,34,77,5.72,.714,"Oman",13,"Western Asia"
"Corpus uteri",53,2,9,2,0,642,24,2282,11.79,.731,"Romania",14,"Eastern Europe"
"Thyroid",53,3,10,2,0,756,32,608,10.14,.899,"Switzerland",17,"Western Europe"
"Leukaemia",53,3,11,2,0,276,36,6697,5.64,.89,"Germany",17,"Western Europe"
"Ovary",53,0,12,2,0,562,25,551,7.65,.273,"Niger",5,"Western Africa"
"Hodgkin lymphoma",53,2,13,2,0,682,33,244,1.68,.748,"Saudi Arabia",13,"Western Asia"
"Multiple myeloma",53,2,14,2,0,858,35,81,2.04,.749,"Uruguay",8,"South America"
"Melanoma of skin",53,1,15,2,0,76,16,4718,3.07,.699,"Brazil",8,"South America"
"Mesothelioma",53,2,16,2,0,484,18,117,.15,.718,"Mexico",7,"Central America"
"Cervix uteri",53,1,17,2,0,496,23,361,20.19,.608,"Mongolia",10,"Eastern Asia"
"Liver",53,0,18,2,0,90,11,12,4.88,.486,"Solomon Islands",19,"Melanesia"
"Nasopharynx",53,0,19,2,0,384,4,51,.42,.426,"Côte d'Ivoire",5,"Western Africa"
"Kaposi sarcoma",53,2,20,2,0,643,19,170,.12,.734,"Russian Federation",14,"Eastern Europe"
"Oesophagus",53,1,21,2,0,417,6,63,1.94,.63,"Kyrgyzstan",12,"South Central Asia"
"Vagina",53,3,22,2,0,36,22,104,.43,.907,"Australia",18,"Australia/New Zealand"
"Gallbladder",53,2,23,2,0,414,12,15,1.18,.78,"Kuwait",13,"Western Asia"
"Larynx",53,0,24,2,0,104,14,161,.51,.432,"Myanmar",11,"South-Eastern Asia"
"Hypopharynx",53,2,25,2,0,188,5,13,.2,.728,"Costa Rica",7,"Central America"
"Lip, oral cavity",53,0,26,2,0,887,1,170,1.95,.461,"Yemen",13,"Western Asia"
"Oropharynx",53,1,27,2,0,112,3,35,.39,.699,"Belarus",14,"Eastern Europe"
"Vulva",53,0,28,2,0,729,21,157,1.16,.415,"Sudan",3,"Northern Africa"
"Salivary glands",53,3,29,2,0,372,2,20,.52,.881,"Ireland",15,"Northern Europe"
"Stomach",53,3,30,2,0,638,7,57,6.24,.822,"France, La Réunion",1,"Eastern Africa"
"Bladder",54,2,1,2,0,152,30,520,2.71,.769,"Chile",8,"South America"
"Brain, CNS",54,0,2,2,0,24,31,607,4.09,.426,"Angola",2,"Middle Africa"
"Breast",54,1,3,2,0,608,20,33079,60.34,.638,"Philippines",11,"South-Eastern Asia"
"Colorectum",54,2,4,2,0,152,8,3427,18.29,.769,"Chile",8,"South America"
"Pancreas",54,3,5,2,0,442,13,36,4.93,.869,"Luxembourg",17,"Western Europe"
"Kidney",54,1,6,2,0,662,29,5,3.28,.693,"Saint Lucia",6,"Caribbean"
"Lung",54,1,7,2,0,862,15,2291,12.17,.692,"Venezuela",8,"South America"
"NHL",54,1,8,2,0,340,34,260,5.7,.575,"Honduras",7,"Central America"
"Corpus uteri",54,3,9,2,0,756,24,1097,11.76,.899,"Switzerland",17,"Western Europe"
"Thyroid",54,3,10,2,0,40,32,628,10.12,.847,"Austria",17,"Western Europe"
"Leukaemia",54,1,11,2,0,558,36,192,5.64,.589,"Nicaragua",7,"Central America"
"Ovary",54,3,12,2,0,724,25,3455,7.63,.837,"Spain",16,"Southern Europe"
"Hodgkin lymphoma",54,1,13,2,0,498,33,34,1.65,.663,"Moldova",14,"Eastern Europe"
"Multiple myeloma",54,1,14,2,0,710,35,608,2.03,.619,"South Africa",4,"Southern Africa"
"Melanoma of skin",54,1,15,2,0,68,16,204,3.04,.637,"Bolivia",8,"South America"
"Mesothelioma",54,3,16,2,0,702,18,9,.15,.833,"Singapore",11,"South-Eastern Asia"
"Cervix uteri",54,3,17,2,0,96,23,53,20.01,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Liver",54,0,18,2,0,450,11,451,4.72,.464,"Madagascar",1,"Eastern Africa"
"Nasopharynx",54,1,19,2,0,496,4,8,.42,.608,"Mongolia",10,"Eastern Asia"
"Kaposi sarcoma",54,1,20,2,0,860,19,21,.12,.614,"Uzbekistan",12,"South Central Asia"
"Oesophagus",54,3,21,2,0,634,6,5,1.89,.822,"Qatar",13,"Western Asia"
"Vagina",54,0,22,2,0,108,22,14,.43,.311,"Burundi",1,"Eastern Africa"
"Gallbladder",54,0,23,2,0,232,12,14,1.17,.427,"Eritrea",1,"Eastern Africa"
"Larynx",54,2,24,2,0,414,14,6,.51,.78,"Kuwait",13,"Western Asia"
"Hypopharynx",54,0,25,2,0,418,5,6,.2,.486,"Lao People's Democratic Republic",11,"South-Eastern Asia"
"Lip, oral cavity",54,2,26,2,0,780,1,21,1.91,.726,"Trinidad and Tobago",6,"Caribbean"
"Oropharynx",54,1,27,2,0,862,3,70,.39,.692,"Venezuela",8,"South America"
"Vulva",54,2,28,2,0,643,21,2104,1.14,.734,"Russian Federation",14,"Eastern Europe"
"Salivary glands",54,3,29,2,0,410,2,221,.52,.837,"Korea, Republic of",10,"Eastern Asia"
"Stomach",54,1,30,2,0,498,7,237,6.1,.663,"Moldova",14,"Eastern Europe"
"Bladder",55,2,1,2,0,499,30,22,2.68,.773,"Montenegro",16,"Southern Europe"
"Brain, CNS",55,3,2,2,0,528,31,567,4.08,.885,"The Netherlands",17,"Western Europe"
"Breast",55,2,3,2,0,242,20,289,60.26,.7,"Fiji",19,"Melanesia"
"Colorectum",55,1,4,2,0,740,8,69,18.16,.682,"Suriname",8,"South America"
"Pancreas",55,1,5,2,0,268,13,241,4.88,.699,"Georgia",13,"Western Asia"
"Kidney",55,1,6,2,0,70,29,113,3.23,.689,"Bosnia Herzegovina",16,"Southern Europe"
"Lung",55,2,7,2,0,32,15,4429,12.06,.781,"Argentina",8,"South America"
"NHL",55,1,8,2,0,662,34,7,5.7,.693,"Saint Lucia",6,"Caribbean"
"Corpus uteri",55,1,9,2,0,70,24,358,11.23,.689,"Bosnia Herzegovina",16,"Southern Europe"
"Thyroid",55,2,10,2,0,642,32,1429,9.93,.731,"Romania",14,"Eastern Europe"
"Leukaemia",55,2,11,2,0,152,36,697,5.61,.769,"Chile",8,"South America"
"Ovary",55,1,12,2,0,764,25,4144,7.4,.669,"Thailand",11,"South-Eastern Asia"
"Hodgkin lymphoma",55,3,13,2,0,752,33,90,1.64,.908,"Sweden",15,"Northern Europe"
"Multiple myeloma",55,3,14,2,0,40,35,255,1.98,.847,"Austria",17,"Western Europe"
"Melanoma of skin",55,3,15,2,0,638,16,19,2.96,.822,"France, La Réunion",1,"Eastern Africa"
"Mesothelioma",55,1,16,2,0,170,18,49,.14,.671,"Colombia",8,"South America"
"Cervix uteri",55,1,17,2,0,340,23,916,19.5,.575,"Honduras",7,"Central America"
"Liver",55,0,18,2,0,226,11,16,4.7,.546,"Equatorial Guinea",2,"Middle Africa"
"Nasopharynx",55,1,19,2,0,268,4,13,.4,.699,"Georgia",13,"Western Asia"
"Kaposi sarcoma",55,2,20,2,0,32,19,33,.11,.781,"Argentina",8,"South America"
"Oesophagus",55,1,21,2,0,762,6,57,1.88,.573,"Tajikistan",12,"South Central Asia"
"Vagina",55,0,22,2,0,148,22,17,.43,.307,"Chad",2,"Middle Africa"
"Gallbladder",55,0,23,2,0,598,12,37,1.17,.462,"Papua New Guinea",19,"Melanesia"
"Larynx",55,2,24,2,0,703,14,27,.5,.773,"Slovakia",14,"Eastern Europe"
"Hypopharynx",55,2,25,2,0,440,5,6,.19,.785,"Lithuania",15,"Northern Europe"
"Lip, oral cavity",55,3,26,2,0,40,1,207,1.9,.847,"Austria",17,"Western Europe"
"Oropharynx",55,3,27,2,0,442,3,2,.38,.869,"Luxembourg",17,"Western Europe"
"Vulva",55,0,28,2,0,231,21,483,1.13,.315,"Ethiopia",1,"Eastern Africa"
"Salivary glands",55,2,29,2,0,620,2,56,.52,.799,"Portugal",16,"Southern Europe"
"Stomach",55,3,30,2,0,702,7,369,6.04,.833,"Singapore",11,"South-Eastern Asia"
"Bladder",56,3,1,2,0,554,30,164,2.66,.888,"New Zealand",18,"Australia/New Zealand"
"Brain, CNS",56,1,2,2,0,818,31,2039,4.08,.622,"Egypt",3,"Northern Africa"
"Breast",56,2,3,2,0,400,20,2598,59.99,.715,"Jordan",13,"Western Asia"
"Colorectum",56,1,4,2,0,807,8,370,18.04,.688,"North Macedonia",16,"Southern Europe"
"Pancreas",56,3,5,2,0,540,13,11,4.87,.852,"New Caledonia",19,"Melanesia"
"Kidney",56,3,6,2,0,540,29,7,3.08,.852,"New Caledonia",19,"Melanesia"
"Lung",56,3,7,2,0,470,15,63,11.92,.804,"Malta",16,"Southern Europe"
"NHL",56,1,8,2,0,792,34,3143,5.61,.677,"Türkiye",13,"Western Asia"
"Corpus uteri",56,3,9,2,0,528,24,2216,10.99,.885,"The Netherlands",17,"Western Europe"
"Thyroid",56,2,10,2,0,414,32,193,9.9,.78,"Kuwait",13,"Western Asia"
"Leukaemia",56,3,11,2,0,638,36,37,5.56,.822,"France, La Réunion",1,"Eastern Africa"
"Ovary",56,3,12,2,0,246,25,457,7.37,.874,"Finland",15,"Northern Europe"
"Hodgkin lymphoma",56,2,13,2,0,414,33,26,1.63,.78,"Kuwait",13,"Western Asia"
"Multiple myeloma",56,1,14,2,0,760,35,151,1.94,.607,"Syrian Arab Republic",13,"Western Asia"
