cancer_label,CSU_RANK,hdi_group,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Oropharynx",2,3,27,2,0,250,3,982,1.61,.852,"France (metropolitan)",17,"Western Europe"
"Vulva",2,3,28,2,0,276,21,4633,3.67,.89,"Germany",17,"Western Europe"
"Salivary glands",2,0,29,2,0,90,2,4,1.13,.486,"Solomon Islands",19,"Melanesia"
"Stomach",2,3,30,2,0,410,7,9605,16.89,.837,"Korea, Republic of",10,"Eastern Asia"
"Bladder",3,3,1,2,0,208,30,666,8.59,.89,"Denmark",15,"Northern Europe"
"Brain, CNS",3,1,2,2,0,51,31,141,6.03,.682,"Armenia",13,"Western Asia"
"Breast",3,3,3,2,0,56,20,11255,104.39,.886,"Belgium",17,"Western Europe"
"Colorectum",3,3,4,2,0,528,8,7580,35.86,.885,"The Netherlands",17,"Western Europe"
"Pancreas",3,3,5,2,0,203,13,1268,8.37,.821,"Czechia",14,"Eastern Europe"
"Kidney",3,3,6,2,0,840,29,25210,8.68,.891,"United States of America",9,"Northern America"
"Lung",3,3,7,2,0,528,15,7013,33.89,.885,"The Netherlands",17,"Western Europe"
"NHL",3,3,8,2,0,470,34,53,11.04,.804,"Malta",16,"Southern Europe"
"Corpus uteri",3,2,9,2,0,52,24,70,24.93,.774,"Barbados",6,"Caribbean"
"Thyroid",3,1,10,2,0,160,32,341211,36.51,.606,"China",10,"Eastern Asia"
"Leukaemia",3,3,11,2,0,840,36,25719,8.92,.891,"United States of America",9,"Northern America"
"Ovary",3,3,12,2,0,96,25,33,13.16,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Hodgkin lymphoma",3,3,13,2,0,470,33,8,3.1,.804,"Malta",16,"Southern Europe"
"Multiple myeloma",3,3,14,2,0,312,35,27,4.59,.842,"France, Guadeloupe",6,"Caribbean"
"Melanoma of skin",3,3,15,2,0,36,16,5917,29.06,.907,"Australia",18,"Australia/New Zealand"
"Mesothelioma",3,3,16,2,0,380,18,679,.64,.85,"Italy",16,"Southern Europe"
"Cervix uteri",3,0,17,2,0,454,23,4701,70.85,.357,"Malawi",1,"Eastern Africa"
