cancer_label,CSU_RANK,hdi_group,group1,group2,group3,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Bladder",1,3,1,1,1,1,1,0,724,30,17011,32.4,.837,"Spain",16,"Southern Europe"
"NHL",1,3,1,1,1,2,1,0,470,34,78,18.19,.804,"Malta",16,"Southern Europe"
"Mesothelioma",1,3,1,1,1,3,1,0,826,18,2702,2.98,.881,"United Kingdom",15,"Northern Europe"
"Prostate",1,3,1,1,1,4,1,0,312,27,660,157.53,.842,"France, Guadeloupe",6,"Caribbean"
"Brain, CNS",1,2,1,1,1,5,1,0,499,31,46,10.44,.773,"Montenegro",16,"Southern Europe"
"Colorectum",1,3,1,1,1,6,1,0,348,8,5611,62.39,.788,"Hungary",14,"Eastern Europe"
"Kidney",1,2,1,1,1,7,1,0,112,29,1540,22.92,.699,"Belarus",14,"Eastern Europe"
"Leukaemia",1,3,1,1,1,8,1,0,36,36,3581,15.95,.907,"Australia",18,"Australia/New Zealand"
"Pancreas",1,2,1,1,1,9,1,0,51,13,257,13,.682,"Armenia",13,"Western Asia"
"Testis",1,2,1,1,1,10,1,0,703,28,386,13.21,.773,"Slovakia",14,"Eastern Europe"
"Lung",1,1,1,1,1,11,1,0,792,15,33039,67.99,.677,"Türkiye",13,"Western Asia"
"Multiple myeloma",1,3,1,1,1,12,1,0,474,35,35,6.98,.859,"France, Martinique",6,"Caribbean"
"Hodgkin lymphoma",1,2,1,1,1,13,1,0,662,33,5,4.62,.693,"Saint Lucia",6,"Caribbean"
"Thyroid",1,1,1,1,1,14,1,0,160,32,124907,13.25,.606,"China",10,"Eastern Asia"
"Melanoma of skin",1,3,1,1,1,15,1,0,36,16,10902,45.9,.907,"Australia",18,"Australia/New Zealand"
"Hypopharynx",1,1,1,1,1,16,1,0,50,5,7280,9.26,.492,"Bangladesh",12,"South Central Asia"
"Oropharynx",1,2,1,1,1,17,1,0,703,3,394,9.26,.773,"Slovakia",14,"Eastern Europe"
"Larynx",1,2,1,1,1,18,1,0,192,14,1551,14.76,.698,"Cuba",6,"Caribbean"
"Lip, oral cavity",1,0,1,1,1,19,1,0,598,1,713,22.62,.462,"Papua New Guinea",19,"Melanesia"
"Kaposi sarcoma",1,1,1,2,3,20,1,0,516,19,221,21.15,.541,"Namibia",4,"Southern Africa"
"Penis",1,0,1,2,3,21,1,0,748,26,22,6.79,.442,"Eswatini",4,"Southern Africa"
"Oesophagus",1,0,1,2,3,22,1,0,454,6,991,21.46,.357,"Malawi",1,"Eastern Africa"
"Liver",1,1,1,2,3,23,1,0,496,11,1443,113.46,.608,"Mongolia",10,"Eastern Asia"
"Nasopharynx",1,1,1,2,3,24,1,0,462,4,29,10.77,.63,"Maldives",12,"South Central Asia"
"Gallbladder",1,1,1,2,2,25,1,0,68,12,407,6.79,.637,"Bolivia",8,"South America"
"Stomach",1,1,1,2,2,26,1,0,496,7,661,53.04,.608,"Mongolia",10,"Eastern Asia"
"Salivary glands",1,0,1,2,2,27,1,0,332,2,83,1.93,.446,"Haiti",6,"Caribbean"
