cancer_label,CSU_RANK,hdi_group,group1,group2,group3,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Oropharynx",2,2,1,1,1,18,0,0,642,3,1569,4.85,.731,"Romania",14,"Eastern Europe"
"Cervix uteri",2,0,1,2,2,19,0,0,894,23,3640,71.5,.441,"Zambia",1,"Eastern Africa"
"Nasopharynx",2,3,1,2,2,20,0,0,96,4,32,6.35,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Liver",2,1,1,2,2,21,0,0,818,11,27946,31.99,.622,"Egypt",3,"Northern Africa"
"Kaposi sarcoma",2,0,1,2,2,22,0,0,508,19,3989,14.39,.327,"Mozambique",1,"Eastern Africa"
"Vagina",2,0,1,2,2,23,0,0,516,22,12,1.18,.541,"Namibia",4,"Southern Africa"
"Penis",2,1,1,2,2,24,0,0,72,26,34,3.9,.579,"Botswana",4,"Southern Africa"
"Gallbladder",2,2,1,2,3,25,0,0,152,12,1917,5.72,.769,"Chile",8,"South America"
"Stomach",2,3,1,2,3,26,0,0,392,7,126724,27.6,.864,"Japan",10,"Eastern Asia"
"Oesophagus",2,0,1,2,3,27,0,0,50,6,25232,15.95,.492,"Bangladesh",12,"South Central Asia"
"Salivary glands",2,0,1,2,3,28,0,0,332,2,132,1.33,.446,"Haiti",6,"Caribbean"
"Hypopharynx",2,2,1,2,3,29,0,0,348,5,571,3.47,.788,"Hungary",14,"Eastern Europe"
"Larynx",2,1,1,2,3,30,0,0,498,14,337,5.54,.663,"Moldova",14,"Eastern Europe"
"Lip, oral cavity",2,0,1,2,3,31,0,0,50,1,16083,10.31,.492,"Bangladesh",12,"South Central Asia"
"Ovary",2,1,1,2,3,32,0,0,882,25,12,14.21,.659,"Samoa",21,"Polynesia"
"Vulva",2,3,1,2,3,33,0,0,276,21,4633,3.67,.89,"Germany",17,"Western Europe"
"Bladder",3,3,1,1,1,1,0,0,380,30,34580,18.05,.85,"Italy",16,"Southern Europe"
"Mesothelioma",3,3,1,1,1,2,0,0,36,18,961,1.66,.907,"Australia",18,"Australia/New Zealand"
"Breast",3,3,1,1,1,3,0,0,56,20,11255,104.39,.886,"Belgium",17,"Western Europe"
"Colorectum",3,2,1,1,1,4,0,0,348,8,9607,44.2,.788,"Hungary",14,"Eastern Europe"
"Kidney",3,2,1,1,1,5,0,0,428,29,531,13.66,.767,"Latvia",15,"Northern Europe"
"Leukaemia",3,3,1,1,1,6,0,0,840,36,63144,11.15,.891,"United States of America",9,"Northern America"
"Multiple myeloma",3,3,1,1,1,7,0,0,312,35,56,5.31,.842,"France, Guadeloupe",6,"Caribbean"
"Pancreas",3,3,1,1,1,8,0,0,392,13,47627,9.75,.864,"Japan",10,"Eastern Asia"
"NHL",3,3,1,1,1,9,0,0,376,34,1680,13.89,.873,"Israel",13,"Western Asia"
"Corpus uteri",3,2,1,1,1,10,0,0,52,24,70,24.93,.774,"Barbados",6,"Caribbean"
"Thyroid",3,3,1,1,1,11,0,0,410,32,17642,23.23,.837,"Korea, Republic of",10,"Eastern Asia"
"Lung",3,1,1,1,1,12,0,0,160,15,1060584,40.78,.606,"China",10,"Eastern Asia"
"Brain, CNS",3,1,1,1,1,13,0,0,807,31,261,7.29,.688,"North Macedonia",16,"Southern Europe"
"Hodgkin lymphoma",3,2,1,1,1,14,0,0,620,33,337,3.19,.799,"Portugal",16,"Southern Europe"
"Testis",3,2,1,1,1,15,0,0,348,28,554,11.37,.788,"Hungary",14,"Eastern Europe"
"Melanoma of skin",3,3,1,1,1,16,0,0,578,16,3169,30.61,.917,"Norway",15,"Northern Europe"
"Prostate",3,3,1,1,1,17,0,0,474,27,610,134.25,.859,"France, Martinique",6,"Caribbean"
"Oropharynx",3,3,1,1,1,18,0,0,208,3,450,4.09,.89,"Denmark",15,"Northern Europe"
"Cervix uteri",3,0,1,2,2,19,0,0,454,23,4701,70.85,.357,"Malawi",1,"Eastern Africa"
"Nasopharynx",3,1,1,2,2,20,0,0,360,4,18835,6.14,.615,"Indonesia",11,"South-Eastern Asia"
"Liver",3,0,1,2,2,21,0,0,116,11,3497,25.07,.457,"Cambodia",11,"South-Eastern Asia"
"Kaposi sarcoma",3,0,1,2,2,22,0,0,516,19,324,13.64,.541,"Namibia",4,"Southern Africa"
"Vagina",3,0,1,2,2,23,0,0,894,22,46,.97,.441,"Zambia",1,"Eastern Africa"
"Penis",3,1,1,2,2,24,0,0,662,26,5,3.67,.693,"Saint Lucia",6,"Caribbean"
"Gallbladder",3,0,1,2,3,25,0,0,50,12,8380,5.25,.492,"Bangladesh",12,"South Central Asia"
"Stomach",3,3,1,2,3,26,0,0,410,7,29267,26.98,.837,"Korea, Republic of",10,"Eastern Asia"
"Oesophagus",3,1,1,2,3,27,0,0,496,6,401,15.68,.608,"Mongolia",10,"Eastern Asia"
"Salivary glands",3,0,1,2,3,28,0,0,120,2,205,1.32,.458,"Cameroon",2,"Middle Africa"
"Hypopharynx",3,2,1,2,3,29,0,0,703,5,268,2.91,.773,"Slovakia",14,"Eastern Europe"
"Larynx",3,2,1,2,3,30,0,0,642,14,1804,5.12,.731,"Romania",14,"Eastern Europe"
"Lip, oral cavity",3,0,1,2,3,31,0,0,356,1,143759,9.91,.506,"India",12,"South Central Asia"
"Ovary",3,3,1,2,3,32,0,0,96,25,33,13.16,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Vulva",3,3,1,2,3,33,0,0,208,21,197,2.83,.89,"Denmark",15,"Northern Europe"
"Bladder",4,3,1,1,1,1,0,0,528,30,7835,17.39,.885,"The Netherlands",17,"Western Europe"
"Mesothelioma",4,3,1,1,1,2,0,0,528,18,669,1.36,.885,"The Netherlands",17,"Western Europe"
"Breast",4,3,1,1,1,3,0,0,528,20,15919,101.6,.885,"The Netherlands",17,"Western Europe"
"Colorectum",4,3,1,1,1,4,0,0,528,8,17670,42.75,.885,"The Netherlands",17,"Western Europe"
"Kidney",4,3,1,1,1,5,0,0,203,29,3087,13.32,.821,"Czechia",14,"Eastern Europe"
"Leukaemia",4,3,1,1,1,6,0,0,196,36,229,10.73,.819,"Cyprus",16,"Southern Europe"
"Multiple myeloma",4,3,1,1,1,7,0,0,124,35,4779,5.26,.877,"Canada",9,"Northern America"
"Pancreas",4,3,1,1,1,8,0,0,250,13,15895,9.4,.852,"France (metropolitan)",17,"Western Europe"
"NHL",4,3,1,1,1,9,0,0,840,34,77956,12.54,.891,"United States of America",9,"Northern America"
"Corpus uteri",4,1,1,1,1,10,0,0,112,24,2295,24.31,.699,"Belarus",14,"Eastern Europe"
"Thyroid",4,2,1,1,1,11,0,0,258,32,61,16.85,.791,"French Polynesia",21,"Polynesia"
"Lung",4,2,1,1,1,12,0,0,688,15,6879,40.39,.726,"Serbia",16,"Southern Europe"
"Brain, CNS",4,3,1,1,1,13,0,0,578,31,620,7.15,.917,"Norway",15,"Northern Europe"
"Hodgkin lymphoma",4,3,1,1,1,14,0,0,372,33,183,3.16,.881,"Ireland",15,"Northern Europe"
"Testis",4,3,1,1,1,15,0,0,578,28,341,11.34,.917,"Norway",15,"Northern Europe"
"Melanoma of skin",4,3,1,1,1,16,0,0,554,16,2739,29.77,.888,"New Zealand",18,"Australia/New Zealand"
"Prostate",4,3,1,1,1,17,0,0,578,27,6276,109.9,.917,"Norway",15,"Northern Europe"
"Oropharynx",4,2,1,1,1,18,0,0,348,3,653,3.82,.788,"Hungary",14,"Eastern Europe"
"Cervix uteri",4,0,1,2,2,19,0,0,716,23,3520,68.2,.423,"Zimbabwe",1,"Eastern Africa"
"Nasopharynx",4,2,1,2,2,20,0,0,458,4,2144,5.87,.723,"Malaysia",11,"South-Eastern Asia"
"Liver",4,0,1,2,2,21,0,0,418,11,1379,24.94,.486,"Lao People's Democratic Republic",11,"South-Eastern Asia"
"Kaposi sarcoma",4,0,1,2,2,22,0,0,454,19,1989,12,.357,"Malawi",1,"Eastern Africa"
"Vagina",4,1,1,2,2,23,0,0,214,22,57,.92,.668,"Dominican Republic",6,"Caribbean"
"Penis",4,1,1,2,2,24,0,0,600,26,120,3.38,.662,"Paraguay",8,"South America"
