country_code,country_label,risk,cause_num,cause,year,pop2015,hdi,rank
208,"Denmark",15.51168,0,"Major NCDs",2016,,2,20
246,"Finland",14.61429,0,"Major NCDs",2000,5481966,2,13
246,"Finland",13.73485,0,"Major NCDs",2001,5481966,2,13
246,"Finland",13.47122,0,"Major NCDs",2002,5481966,2,13
246,"Finland",13.29768,0,"Major NCDs",2003,5481966,2,13
246,"Finland",13.3569,0,"Major NCDs",2004,5481966,2,13
246,"Finland",12.92885,0,"Major NCDs",2005,5481966,2,13
246,"Finland",12.58773,0,"Major NCDs",2006,5481966,2,13
246,"Finland",12.63364,0,"Major NCDs",2007,5481966,2,13
246,"Finland",12.22516,0,"Major NCDs",2008,5481966,2,13
246,"Finland",12.0779,0,"Major NCDs",2009,5481966,2,13
246,"Finland",11.80444,0,"Major NCDs",2010,5481966,2,13
246,"Finland",11.50623,0,"Major NCDs",2011,5481966,2,13
246,"Finland",11.21232,0,"Major NCDs",2012,5481966,2,13
246,"Finland",10.93514,0,"Major NCDs",2013,5481966,2,13
246,"Finland",10.48032,0,"Major NCDs",2014,5481966,2,13
246,"Finland",15.03784,0,"Major NCDs",2015,,2,13
246,"Finland",14.87917,0,"Major NCDs",2016,,2,13
250,"France",13.81809,0,"Major NCDs",2000,64457201,2,21
250,"France",13.54285,0,"Major NCDs",2001,64457201,2,21
250,"France",13.36458,0,"Major NCDs",2002,64457201,2,21
250,"France",13.23764,0,"Major NCDs",2003,64457201,2,21
250,"France",12.69284,0,"Major NCDs",2004,64457201,2,21
250,"France",12.61733,0,"Major NCDs",2005,64457201,2,21
250,"France",12.34486,0,"Major NCDs",2006,64457201,2,21
250,"France",12.17169,0,"Major NCDs",2007,64457201,2,21
250,"France",12.05152,0,"Major NCDs",2008,64457201,2,21
250,"France",11.96391,0,"Major NCDs",2009,64457201,2,21
250,"France",11.78579,0,"Major NCDs",2010,64457201,2,21
250,"France",11.53046,0,"Major NCDs",2011,64457201,2,21
250,"France",11.40872,0,"Major NCDs",2012,64457201,2,21
250,"France",11.18846,0,"Major NCDs",2013,64457201,2,21
250,"France",10.91743,0,"Major NCDs",2014,64457201,2,21
250,"France",14.18654,0,"Major NCDs",2015,,2,21
250,"France",13.94709,0,"Major NCDs",2016,,2,21
276,"Germany",16.13127,0,"Major NCDs",2000,81707789,2,19
276,"Germany",15.56687,0,"Major NCDs",2001,81707789,2,19
276,"Germany",15.28375,0,"Major NCDs",2002,81707789,2,19
276,"Germany",15.02815,0,"Major NCDs",2003,81707789,2,19
276,"Germany",14.41117,0,"Major NCDs",2004,81707789,2,19
276,"Germany",14.10711,0,"Major NCDs",2005,81707789,2,19
276,"Germany",13.68632,0,"Major NCDs",2006,81707789,2,19
276,"Germany",13.6239,0,"Major NCDs",2007,81707789,2,19
276,"Germany",13.5149,0,"Major NCDs",2008,81707789,2,19
276,"Germany",13.40862,0,"Major NCDs",2009,81707789,2,19
276,"Germany",13.0824,0,"Major NCDs",2010,81707789,2,19
276,"Germany",12.73897,0,"Major NCDs",2011,81707789,2,19
276,"Germany",12.46614,0,"Major NCDs",2012,81707789,2,19
276,"Germany",12.52473,0,"Major NCDs",2013,81707789,2,19
276,"Germany",12.10555,0,"Major NCDs",2014,81707789,2,19
276,"Germany",16.47343,0,"Major NCDs",2015,,2,19
276,"Germany",15.96392,0,"Major NCDs",2016,,2,19
380,"Italy",13.47857,0,"Major NCDs",2000,59504212,2,15
380,"Italy",13.0607,0,"Major NCDs",2001,59504212,2,15
380,"Italy",12.66621,0,"Major NCDs",2002,59504212,2,15
380,"Italy",12.46977,0,"Major NCDs",2003,59504212,2,15
380,"Italy",11.80062,0,"Major NCDs",2004,59504212,2,15
380,"Italy",11.55043,0,"Major NCDs",2005,59504212,2,15
380,"Italy",11.24828,0,"Major NCDs",2006,59504212,2,15
380,"Italy",11.14635,0,"Major NCDs",2007,59504212,2,15
