year,risk,cause,country_code,country_label,area_code,area_label,select,hdi,cause_num,rank
2002,10.92744,"cvd",76,"Brazil",8,"South America",1,2,2,20
2003,23.45251,"allncd",76,"Brazil",8,"South America",1,2,0,20
2003,6.847253,"cancer",76,"Brazil",8,"South America",1,2,1,20
2003,10.71061,"cvd",76,"Brazil",8,"South America",1,2,2,20
2004,23.3403,"allncd",76,"Brazil",8,"South America",1,2,0,20
2004,6.853749,"cancer",76,"Brazil",8,"South America",1,2,1,20
2004,10.59892,"cvd",76,"Brazil",8,"South America",1,2,2,20
2005,22.29977,"allncd",76,"Brazil",8,"South America",1,2,0,20
2005,6.710106,"cancer",76,"Brazil",8,"South America",1,2,1,20
2005,9.903852,"cvd",76,"Brazil",8,"South America",1,2,2,20
2006,22.05387,"allncd",76,"Brazil",8,"South America",1,2,0,20
2006,6.648078,"cancer",76,"Brazil",8,"South America",1,2,1,20
2006,9.749557,"cvd",76,"Brazil",8,"South America",1,2,2,20
2007,21.76797,"allncd",76,"Brazil",8,"South America",1,2,0,20
2007,6.587523,"cancer",76,"Brazil",8,"South America",1,2,1,20
2007,9.541659,"cvd",76,"Brazil",8,"South America",1,2,2,20
2008,21.79288,"allncd",76,"Brazil",8,"South America",1,2,0,20
2008,6.642811,"cancer",76,"Brazil",8,"South America",1,2,1,20
2008,9.485464,"cvd",76,"Brazil",8,"South America",1,2,2,20
2009,21.36257,"allncd",76,"Brazil",8,"South America",1,2,0,20
2009,6.541507,"cancer",76,"Brazil",8,"South America",1,2,1,20
2009,9.14564,"cvd",76,"Brazil",8,"South America",1,2,2,20
2010,21.18681,"allncd",76,"Brazil",8,"South America",1,2,0,20
2010,6.58162,"cancer",76,"Brazil",8,"South America",1,2,1,20
2010,8.922435,"cvd",76,"Brazil",8,"South America",1,2,2,20
2011,21.08553,"allncd",76,"Brazil",8,"South America",1,2,0,20
2011,6.50767,"cancer",76,"Brazil",8,"South America",1,2,1,20
2011,8.808297,"cvd",76,"Brazil",8,"South America",1,2,2,20
2012,20.49661,"allncd",76,"Brazil",8,"South America",1,2,0,20
2012,6.488569,"cancer",76,"Brazil",8,"South America",1,2,1,20
2012,8.423477,"cvd",76,"Brazil",8,"South America",1,2,2,20
2013,20.18833,"allncd",76,"Brazil",8,"South America",1,2,0,20
2013,6.435895,"cancer",76,"Brazil",8,"South America",1,2,1,20
2013,8.178609,"cvd",76,"Brazil",8,"South America",1,2,2,20
2014,19.66153,"allncd",76,"Brazil",8,"South America",1,2,0,20
2014,6.347939,"cancer",76,"Brazil",8,"South America",1,2,1,20
2014,7.900943,"cvd",76,"Brazil",8,"South America",1,2,2,20
2015,19.63911,"allncd",76,"Brazil",8,"South America",1,2,0,20
2015,6.378406,"cancer",76,"Brazil",8,"South America",1,2,1,20
2015,7.803596,"cvd",76,"Brazil",8,"South America",1,2,2,20
2016,19.78293,"allncd",76,"Brazil",8,"South America",1,2,0,20
2016,6.366581,"cancer",76,"Brazil",8,"South America",1,2,1,20
2016,7.895929,"cvd",76,"Brazil",8,"South America",1,2,2,20
2017,19.21319,"allncd",76,"Brazil",8,"South America",1,2,0,20
2017,6.326106,"cancer",76,"Brazil",8,"South America",1,2,1,20
2017,7.491627,"cvd",76,"Brazil",8,"South America",1,2,2,20
2018,19.13733,"allncd",76,"Brazil",8,"South America",1,2,0,20
2018,6.33589,"cancer",76,"Brazil",8,"South America",1,2,1,20
2018,7.344479,"cvd",76,"Brazil",8,"South America",1,2,2,20
2019,18.91807,"allncd",76,"Brazil",8,"South America",1,2,0,20
2019,6.27214,"cancer",76,"Brazil",8,"South America",1,2,1,20
2019,7.228213,"cvd",76,"Brazil",8,"South America",1,2,2,20
2000,30.44975,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2000,8.641534,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2000,20.02712,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2001,30.11264,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2001,8.730597,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2001,19.61468,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2002,29.74014,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2002,8.964527,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2002,19.28542,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2003,29.73942,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2003,8.858209,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2003,19.37938,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2004,29.44825,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2004,9.061496,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2004,18.87736,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2005,29.86748,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2005,9.737419,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2005,18.08706,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2006,29.62864,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2006,9.65484,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2006,17.96416,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2007,28.95807,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2007,9.591138,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
2007,16.96542,"cvd",100,"Bulgaria",14,"Eastern Europe",1,2,2,22
2008,28.07563,"allncd",100,"Bulgaria",14,"Eastern Europe",1,2,0,22
2008,9.714135,"cancer",100,"Bulgaria",14,"Eastern Europe",1,2,1,22
