id_code_base,country_label_base,id_code,country_code
17001,"Colombia, Cali",217000199,
20800,Denmark,520800099,
24600,Finland,524600099,
37600,Israel,437600099,
39203,"Japan, Miyagi Prefecture",439200299,
55400,New Zealand,655400099,
57800,Norway,557800099,
70500,Slovenia,570500099,
75200,Sweden,575200099,
82609,"UK, England, West Midlands Region",582600199,
84006,"USA, Connecticut",384000499,
84020,"USA, Hawaii",684009999,
124,Canada,124,124
