country_label;city_label;lat;long;selection
;Haut-Rhin;47.45;7.15;
;Calvados;49.02;0.15;
;Doubs;47.1;6.25;
;Herault;43.21;3.13;
;Isere;45.2;5.3;
;Loire Atlantique;47.2;1.4;
;Somme;49.53;2.25;
;Manche;49.03;1.15;
;Tarn;43.49;2.12;
;Vendee;46.4;1.2536;
;Brandenburg;52.5235;13.4115;
;Bremen;53.0433;8.4827;
;Free State Of Saxony;51.0137;13.2132;
;Hamburg;53.3355;10.0005;
;Mecklenburg-Western Pomerania;53.37;12.42;
;Munich;48.08;11.34;
;North Rhine-Westphalia;51.28;7.33;
;Saarland;49.2259;7;
;Schleswig-Holstein;54.2812;9.305;
;Alto Adige;46.2729;11.1652;
;Biella Province;45.34;8.3;
;Brescia Province;45.3439;10.1304;
;Catania and Messina;37.8;15.0525;
;Catanzaro;38.54;16.36;
;Ferrara Province;44.5042;11.3758;
;Florence and Prato Provinces;43.47;11.15;
;Friuli-Venezia Giulia;46.06;13.07;
;Genova Province;44.2416;8.5557;
;Latina;41.5;13;
;Como Province;45.4843;9.524;
;Lecco Province;45.51;9.24;
;Varese Province;45.49;8.5;
;Mantova;44.54;12.3;
;Modena Province;44.39;10.56;
;Naples;40.5042;14.53;
;Nuoro;40.19;9.2;
;Palerme;38.07;13.22;
;Parma Province;44.48;10.2;
;Ragusa Province;37;14.435;
;Reggio Emilia Province;44.5667;10.55;
;Romagna Region;44.45;11;
;Salerno Province;40.4044;15;
;Sassari Province;40.44;8.33;
;Sondrio;46.1;9.52;
;South Lombardy;45.19;9.3;
;Syracuse Province;37.05;15.17;
;Torino;45.04;7.42;
;Trapani;38.01;13;
;Trento;46.04;11.07;
;Umbria Region;42.574;12.3002;
;Veneto Region;45.3404;11.4837;
;Eindhoven;51.26;5.28;
;Cracow;50.0341;19.5618;
;Kielce;50.5221;20.3755;
;Lower Silesia;51.07;17.02;
;Rzeszow;50.2;22;
;Azores;37.4428;-25.4032;
;St Petersburg;59.57;30.18;
;Central Serbia;44.48;20.23;
;Albacete;38.5944;-1.5121;
;Asturias;43.2;-6;
;Basque Country;42.5;-2.41;
;Canary Islands;28.1;-15.4;
;Ciudad Real;39;-4;
;Cuenca;40.04;-2.09;
;Girona;41.5904;2.4916;
;Granada;37.1041;-3.3603;
;La Rioja;42.15;-2.3;
;Mallorca;39.37;2.59;
;Murcia;37.591;-1.0749;
;Navarra;42.49;-1.39;
;Tarragona;41.1;1;
;Basel;47.34;7.36;
;Geneva;46.12;6.09;
;Graubunden and Glarus;46.45;9.3;
;Neuchatel;46.5951;6.5586;
;St Gall-Appenzell;47.25;9.22;
;Ticino;46.19;8.49;
;Valais;46.4;7.36;
;Vaud;46.37;6.33;
;Zurich;47.22;8.33;
;England;51.3;-0.7;
;Thames;51.5002;-0.1262;
;East of England Region;52.24;0.41;
;North Western;54;-2.14;
;Northern and Yorkshire;53.4759;-1.3257;
;Oxford Region;51.4507;-1.1528;
;South and Western Regions;51.2;-2.55;
;Trent;53.2301;-1.2801;
;West Midlands;52.47;-2.29;
;Northern Ireland;54.45;-6.29;
;Scotland;56.51;-4.16;
;Wales;52;-4;
;Australian Capital Territory;-35.1829;149.0728;
;New South Wales;-32;147;
;Northern Territory;-20;133;
;Queensland;-23;143;
;Tasmania;-42;147;
;Victoria;-37;144;
;South Australia;-30;135;
;Western Australia;-26;121;
;New Zealand;-42.2865;174;
;Hawaii;21.1841;-157.4747;
